order_id,point_id,city_id,delivery_method,delivery_at_client,weekday,hour,is_weekend,items_qty_total_all,items_lines_all,items_unique_all,point_hour,items_qty_total_all_log1p,items_qty_total_all_sq,items_qty_x_unique,y_true,y_pred,abs_err,err
40196604,370,32,courier,0,6,9,1,14,6,5,370__9,2.7080503,196.0,70.0,231.0,21.431952662721894,209.5680473372781,209.5680473372781
40403246,249,13,courier,0,2,10,0,2,2,2,249__10,1.0986123,4.0,4.0,225.0,20.23076923076923,204.76923076923077,204.76923076923077
40331695,629,234,courier,0,2,13,0,5,5,5,629__13,1.7917595,25.0,25.0,227.0,26.054794520547944,200.94520547945206,200.94520547945206
40308729,383,13,courier,0,1,8,0,6,4,4,383__8,1.9459101,36.0,24.0,213.0,18.518072289156628,194.48192771084337,194.48192771084337
40402078,307,7,courier,0,2,9,0,11,6,5,307__9,2.4849067,121.0,55.0,219.0,25.594202898550726,193.40579710144928,193.40579710144928
40306149,608,1,pickup,0,2,6,0,6,4,4,608__6,1.9459101,36.0,24.0,217.0,25.533333333333335,191.46666666666667,191.46666666666667
40327350,184,1,courier,0,2,9,0,14,9,9,184__9,2.7080503,196.0,126.0,211.0,20.871794871794872,190.12820512820514,190.12820512820514
40327462,184,1,courier,0,2,9,0,8,7,6,184__9,2.1972246,64.0,48.0,205.0,20.871794871794872,184.12820512820514,184.12820512820514
40334976,606,98,courier,0,4,11,0,4,4,4,606__11,1.609438,16.0,16.0,206.0,24.454545454545453,181.54545454545456,181.54545454545456
40328758,386,126,courier,0,2,10,0,20,8,8,386__10,3.0445225,400.0,160.0,188.0,16.492957746478872,171.50704225352112,171.50704225352112
40398179,352,103,courier,0,2,7,0,15,7,5,352__7,2.7725887,225.0,75.0,204.0,32.5,171.5,171.5
40368988,406,16,courier,0,6,14,1,17,8,7,406__14,2.8903718,289.0,119.0,212.0,44.191235059760956,167.80876494023903,167.80876494023903
40226091,5,6,courier,0,2,11,0,16,9,6,5__11,2.8332133,256.0,96.0,181.0,20.294117647058822,160.7058823529412,160.7058823529412
40338606,606,98,courier,0,4,11,0,17,10,10,606__11,2.8903718,289.0,170.0,178.0,24.454545454545453,153.54545454545456,153.54545454545456
38940047,25,20,courier,0,5,9,1,11,5,5,25__9,2.4849067,121.0,55.0,205.0,53.45454545454545,151.54545454545456,151.54545454545456
40368852,406,16,courier,0,6,14,1,7,6,5,406__14,2.0794415,49.0,35.0,195.0,44.191235059760956,150.80876494023903,150.80876494023903
40313576,276,95,pickup,0,1,12,0,7,7,6,276__12,2.0794415,49.0,42.0,172.0,26.1340206185567,145.8659793814433,145.8659793814433
40324869,408,1,courier,0,2,7,0,8,5,5,408__7,2.1972246,64.0,40.0,166.0,22.456521739130434,143.54347826086956,143.54347826086956
38959292,25,20,courier,0,6,14,1,9,5,5,25__14,2.3025851,81.0,45.0,209.0,65.8125,143.1875,143.1875
40335452,252,1,courier,0,4,7,0,3,2,2,252__7,1.3862944,9.0,6.0,161.0,19.251851851851853,141.74814814814815,141.74814814814815
40148502,277,7,courier,0,2,10,0,8,5,5,277__10,2.1972246,64.0,40.0,157.0,18.768115942028984,138.231884057971,138.231884057971
40284635,383,13,pickup,0,6,12,1,5,5,5,383__12,1.7917595,25.0,25.0,163.0,25.887966804979254,137.11203319502076,137.11203319502076
40369685,406,16,courier,0,6,15,1,25,10,7,406__15,3.2580965,625.0,175.0,173.0,37.508849557522126,135.49115044247787,135.49115044247787
40215749,69,53,courier,0,1,9,0,16,9,6,69__9,2.8332133,256.0,96.0,165.0,30.06896551724138,134.9310344827586,134.9310344827586
40356019,406,16,courier,0,5,14,1,9,7,5,406__14,2.3025851,81.0,45.0,175.0,40.47163120567376,134.52836879432624,134.52836879432624
38958667,25,20,courier,0,6,13,1,1,1,1,25__13,0.6931472,1.0,1.0,186.0,52.0625,133.9375,133.9375
40401839,1,1,courier,0,2,9,0,5,5,5,1__9,1.7917595,25.0,25.0,153.0,19.142857142857142,133.85714285714286,133.85714285714286
40331980,674,12,courier,0,2,13,0,10,7,5,674__13,2.3978953,100.0,50.0,164.0,31.695121951219512,132.3048780487805,132.3048780487805
40174189,442,7,courier,0,5,7,1,15,7,6,442__7,2.7725887,225.0,90.0,154.0,21.794520547945204,132.2054794520548,132.2054794520548
40369071,406,16,courier,0,6,14,1,4,3,3,406__14,1.609438,16.0,12.0,176.0,44.191235059760956,131.80876494023903,131.80876494023903
40345786,347,1,courier,0,4,17,0,5,5,5,347__17,1.7917595,25.0,25.0,161.0,30.491803278688526,130.50819672131146,130.50819672131146
40334935,252,1,courier,0,4,7,0,7,7,7,252__7,2.0794415,49.0,49.0,149.0,19.251851851851853,129.74814814814815,129.74814814814815
40304722,1,1,courier,0,1,2,0,25,9,5,1__2,3.2580965,625.0,125.0,151.0,21.667218086572927,129.33278191342708,129.33278191342708
38958646,25,20,courier,0,6,13,1,15,7,5,25__13,2.7725887,225.0,75.0,180.0,52.0625,127.9375,127.9375
40416925,355,98,hall,0,3,11,0,6,6,6,355__11,1.9459101,36.0,36.0,146.0,18.17391304347826,127.82608695652173,127.82608695652173
38939528,25,20,courier,0,5,9,1,11,7,5,25__9,2.4849067,121.0,55.0,181.0,53.45454545454545,127.54545454545455,127.54545454545455
40387379,292,102,courier,0,1,8,0,8,8,8,292__8,2.1972246,64.0,64.0,151.0,24.2603550295858,126.7396449704142,126.7396449704142
40331928,674,12,courier,0,2,13,0,15,10,10,674__13,2.7725887,225.0,150.0,158.0,31.695121951219512,126.3048780487805,126.3048780487805
38940516,25,20,courier,0,5,10,1,4,4,4,25__10,1.609438,16.0,16.0,178.0,52.666666666666664,125.33333333333334,125.33333333333334
40215887,69,53,courier,0,1,9,0,1,1,1,69__9,0.6931472,1.0,1.0,155.0,30.06896551724138,124.93103448275862,124.93103448275862
38950332,25,20,courier,0,5,17,1,13,7,7,25__17,2.6390574,169.0,91.0,195.0,71.02777777777777,123.97222222222223,123.97222222222223
38959276,25,20,courier,0,6,14,1,8,5,5,25__14,2.1972246,64.0,40.0,187.0,65.8125,121.1875,121.1875
40293797,572,220,pickup,0,1,4,0,10,6,6,572__4,2.3978953,100.0,60.0,222.0,101.0,121.0,121.0
38949198,25,20,courier,0,5,16,1,17,13,10,25__16,2.8903718,289.0,170.0,199.0,78.47619047619048,120.52380952380952,120.52380952380952
40334768,292,102,courier,0,4,6,0,5,5,5,292__6,1.7917595,25.0,25.0,138.0,18.523809523809526,119.47619047619048,119.47619047619048
38958718,25,20,courier,0,6,13,1,11,8,8,25__13,2.4849067,121.0,88.0,170.0,52.0625,117.9375,117.9375
40334749,292,102,courier,0,4,6,0,25,18,17,292__6,3.2580965,625.0,425.0,136.0,18.523809523809526,117.47619047619048,117.47619047619048
40339378,312,98,courier,0,4,12,0,14,10,9,312__12,2.7080503,196.0,126.0,152.0,34.77215189873418,117.22784810126582,117.22784810126582
40245635,571,32,courier,0,4,5,0,3,2,2,571__5,1.3862944,9.0,6.0,144.0,26.821505521141933,117.17849447885807,117.17849447885807
38958563,25,20,courier,0,6,13,1,12,7,7,25__13,2.5649493,144.0,84.0,169.0,52.0625,116.9375,116.9375
40357405,406,16,courier,0,5,16,1,4,4,4,406__16,1.609438,16.0,16.0,153.0,36.176,116.824,116.824
40254505,94,65,courier,0,4,14,0,3,2,2,94__14,1.3862944,9.0,6.0,159.0,42.94088669950739,116.05911330049261,116.05911330049261
38958852,25,20,courier,0,6,13,1,7,6,5,25__13,2.0794415,49.0,35.0,168.0,52.0625,115.9375,115.9375
40357363,406,16,courier,0,5,16,1,17,8,5,406__16,2.8903718,289.0,85.0,152.0,36.176,115.824,115.824
38949341,25,20,courier,0,5,16,1,18,9,7,25__16,2.944439,324.0,126.0,194.0,78.47619047619048,115.52380952380952,115.52380952380952
40335415,292,102,courier,0,4,6,0,15,12,12,292__6,2.7725887,225.0,180.0,134.0,18.523809523809526,115.47619047619048,115.47619047619048
40352183,406,16,courier,0,5,12,1,14,9,8,406__12,2.7080503,196.0,112.0,148.0,32.60944206008584,115.39055793991416,115.39055793991416
40336400,606,98,pickup,0,4,11,0,9,5,5,606__11,2.3025851,81.0,45.0,139.0,24.454545454545453,114.54545454545455,114.54545454545455
40335376,292,102,courier,0,4,6,0,16,11,11,292__6,2.8332133,256.0,176.0,133.0,18.523809523809526,114.47619047619048,114.47619047619048
40213884,599,132,courier,0,1,4,0,10,7,7,599__4,2.3978953,100.0,70.0,134.0,20.325581395348838,113.67441860465117,113.67441860465117
40332143,674,12,courier,0,2,13,0,4,3,3,674__13,1.609438,16.0,12.0,145.0,31.695121951219512,113.3048780487805,113.3048780487805
40258508,94,65,courier,0,4,16,0,11,11,10,94__16,2.4849067,121.0,110.0,136.0,23.257731958762886,112.74226804123711,112.74226804123711
40335323,292,102,courier,0,4,6,0,9,9,9,292__6,2.3025851,81.0,81.0,131.0,18.523809523809526,112.47619047619048,112.47619047619048
40335122,292,102,courier,0,4,6,0,12,8,8,292__6,2.5649493,144.0,96.0,131.0,18.523809523809526,112.47619047619048,112.47619047619048
40265348,330,1,courier,0,5,9,1,6,6,5,330__9,1.9459101,36.0,30.0,133.0,21.01764705882353,111.98235294117647,111.98235294117647
40337830,304,75,courier,0,4,10,0,13,6,6,304__10,2.6390574,169.0,78.0,124.0,12.472972972972974,111.52702702702703,111.52702702702703
