order_id,point_id,city_id,delivery_method,delivery_at_client,weekday,hour,is_weekend,items_qty_total_all,items_lines_all,items_unique_all,point_hour,items_qty_total_all_log1p,items_qty_total_all_sq,items_qty_x_unique,y_true,y_pred,abs_err,err
40403246,249,13,courier,0,2,10,0,2,2,2,249__10,1.0986123,4.0,4.0,225.0,17.48677100110442,207.51322899889558,207.51322899889558
40196604,370,32,courier,0,6,9,1,14,6,5,370__9,2.7080503,196.0,70.0,231.0,23.685156390014534,207.31484360998547,207.31484360998547
40331695,629,234,courier,0,2,13,0,5,5,5,629__13,1.7917595,25.0,25.0,227.0,27.445436657227752,199.55456334277224,199.55456334277224
40308729,383,13,courier,0,1,8,0,6,4,4,383__8,1.9459101,36.0,24.0,213.0,16.274585343568365,196.72541465643164,196.72541465643164
40402078,307,7,courier,0,2,9,0,11,6,5,307__9,2.4849067,121.0,55.0,219.0,22.47104511915615,196.52895488084386,196.52895488084386
40293797,572,220,pickup,0,1,4,0,10,6,6,572__4,2.3978953,100.0,60.0,222.0,26.1593237095688,195.8406762904312,195.8406762904312
40306149,608,1,pickup,0,2,6,0,6,4,4,608__6,1.9459101,36.0,24.0,217.0,25.262607220380353,191.73739277961965,191.73739277961965
40327350,184,1,courier,0,2,9,0,14,9,9,184__9,2.7080503,196.0,126.0,211.0,22.786056162986064,188.21394383701394,188.21394383701394
40327462,184,1,courier,0,2,9,0,8,7,6,184__9,2.1972246,64.0,48.0,205.0,22.012686278502272,182.98731372149774,182.98731372149774
40334976,606,98,courier,0,4,11,0,4,4,4,606__11,1.609438,16.0,16.0,206.0,24.194370696592948,181.80562930340704,181.80562930340704
40398179,352,103,courier,0,2,7,0,15,7,5,352__7,2.7725887,225.0,75.0,204.0,27.149868400032435,176.85013159996757,176.85013159996757
40368988,406,16,courier,0,6,14,1,17,8,7,406__14,2.8903718,289.0,119.0,212.0,36.887843318289256,175.11215668171076,175.11215668171076
40328758,386,126,courier,0,2,10,0,20,8,8,386__10,3.0445225,400.0,160.0,188.0,20.04079366900413,167.95920633099587,167.95920633099587
40368852,406,16,courier,0,6,14,1,7,6,5,406__14,2.0794415,49.0,35.0,195.0,31.011006968492243,163.98899303150776,163.98899303150776
40226091,5,6,courier,0,2,11,0,16,9,6,5__11,2.8332133,256.0,96.0,181.0,22.109468642708773,158.89053135729122,158.89053135729122
40338606,606,98,courier,0,4,11,0,17,10,10,606__11,2.8903718,289.0,170.0,178.0,27.01865329512914,150.98134670487087,150.98134670487087
40313576,276,95,pickup,0,1,12,0,7,7,6,276__12,2.0794415,49.0,42.0,172.0,21.52332588157067,150.47667411842934,150.47667411842934
38959292,25,20,courier,0,6,14,1,9,5,5,25__14,2.3025851,81.0,45.0,209.0,59.47331828189744,149.52668171810257,149.52668171810257
40369071,406,16,courier,0,6,14,1,4,3,3,406__14,1.609438,16.0,12.0,176.0,32.066729303755984,143.93327069624402,143.93327069624402
40305954,373,1,pickup,0,1,3,0,5,4,3,373__3,1.7917595,25.0,15.0,183.0,39.206314457876914,143.7936855421231,143.7936855421231
40284635,383,13,pickup,0,6,12,1,5,5,5,383__12,1.7917595,25.0,25.0,163.0,19.32003134874904,143.67996865125096,143.67996865125096
40324869,408,1,courier,0,2,7,0,8,5,5,408__7,2.1972246,64.0,40.0,166.0,22.62240352854579,143.3775964714542,143.3775964714542
38940047,25,20,courier,0,5,9,1,11,5,5,25__9,2.4849067,121.0,55.0,205.0,62.21715855381284,142.78284144618715,142.78284144618715
40335452,252,1,courier,0,4,7,0,3,2,2,252__7,1.3862944,9.0,6.0,161.0,19.34535778861263,141.65464221138737,141.65464221138737
40356019,406,16,courier,0,5,14,1,9,7,5,406__14,2.3025851,81.0,45.0,175.0,33.53403385940095,141.46596614059905,141.46596614059905
38958667,25,20,courier,0,6,13,1,1,1,1,25__13,0.6931472,1.0,1.0,186.0,45.365028206278105,140.6349717937219,140.6349717937219
40148502,277,7,courier,0,2,10,0,8,5,5,277__10,2.1972246,64.0,40.0,157.0,16.67937999155355,140.32062000844644,140.32062000844644
40369685,406,16,courier,0,6,15,1,25,10,7,406__15,3.2580965,625.0,175.0,173.0,33.98866796375756,139.01133203624244,139.01133203624244
40254505,94,65,courier,0,4,14,0,3,2,2,94__14,1.3862944,9.0,6.0,159.0,24.95095834580045,134.04904165419956,134.04904165419956
40401839,1,1,courier,0,2,9,0,5,5,5,1__9,1.7917595,25.0,25.0,153.0,19.064956123953177,133.93504387604682,133.93504387604682
38940516,25,20,courier,0,5,10,1,4,4,4,25__10,1.609438,16.0,16.0,178.0,45.261237621121914,132.73876237887808,132.73876237887808
40345786,347,1,courier,0,4,17,0,5,5,5,347__17,1.7917595,25.0,25.0,161.0,28.706278486875473,132.29372151312452,132.29372151312452
40416925,355,98,hall,0,3,11,0,6,6,6,355__11,1.9459101,36.0,36.0,146.0,13.96336624171039,132.0366337582896,132.0366337582896
40304722,1,1,courier,0,1,2,0,25,9,5,1__2,3.2580965,625.0,125.0,151.0,20.03295686983909,130.9670431301609,130.9670431301609
40215887,69,53,courier,0,1,9,0,1,1,1,69__9,0.6931472,1.0,1.0,155.0,24.38970948397809,130.6102905160219,130.6102905160219
38950332,25,20,courier,0,5,17,1,13,7,7,25__17,2.6390574,169.0,91.0,195.0,65.84847436498468,129.15152563501533,129.15152563501533
40174189,442,7,courier,0,5,7,1,15,7,6,442__7,2.7725887,225.0,90.0,154.0,24.92750618922062,129.07249381077938,129.07249381077938
40357405,406,16,courier,0,5,16,1,4,4,4,406__16,1.609438,16.0,16.0,153.0,24.186005423626785,128.8139945763732,128.8139945763732
40254892,94,65,courier,0,4,14,0,5,5,5,94__14,1.7917595,25.0,25.0,151.0,22.505375315836268,128.49462468416374,128.49462468416374
40331980,674,12,courier,0,2,13,0,10,7,5,674__13,2.3978953,100.0,50.0,164.0,36.18072975925656,127.81927024074344,127.81927024074344
40387379,292,102,courier,0,1,8,0,8,8,8,292__8,2.1972246,64.0,64.0,151.0,23.232909858158564,127.76709014184144,127.76709014184144
38949341,25,20,courier,0,5,16,1,18,9,7,25__16,2.944439,324.0,126.0,194.0,66.3935531004129,127.6064468995871,127.6064468995871
38959276,25,20,courier,0,6,14,1,8,5,5,25__14,2.1972246,64.0,40.0,187.0,59.45503191819838,127.54496808180161,127.54496808180161
