order_id,point_id,city_id,delivery_method,delivery_at_client,weekday,hour,is_weekend,items_qty_total_all,items_lines_all,items_unique_all,point_hour,items_qty_total_all_log1p,items_qty_total_all_sq,items_qty_x_unique,y_true,y_pred,abs_err,err
40196604,370,32,courier,0,6,9,1,14,6,5,370__9,2.7080503,196.0,70.0,231.0,23.34717583092064,207.65282416907937,207.65282416907937
40403246,249,13,courier,0,2,10,0,2,2,2,249__10,1.0986123,4.0,4.0,225.0,17.898370735554142,207.10162926444585,207.10162926444585
40331695,629,234,courier,0,2,13,0,5,5,5,629__13,1.7917595,25.0,25.0,227.0,27.23684033672578,199.76315966327422,199.76315966327422
40308729,383,13,courier,0,1,8,0,6,4,4,383__8,1.9459101,36.0,24.0,213.0,16.611108385406602,196.3888916145934,196.3888916145934
40402078,307,7,courier,0,2,9,0,11,6,5,307__9,2.4849067,121.0,55.0,219.0,22.93951878606534,196.06048121393465,196.06048121393465
40306149,608,1,pickup,0,2,6,0,6,4,4,608__6,1.9459101,36.0,24.0,217.0,25.3032161373233,191.6967838626767,191.6967838626767
40327350,184,1,courier,0,2,9,0,14,9,9,184__9,2.7080503,196.0,126.0,211.0,22.498916969307384,188.50108303069263,188.50108303069263
40293797,572,220,pickup,0,1,4,0,10,6,6,572__4,2.3978953,100.0,60.0,222.0,37.38542515313347,184.61457484686653,184.61457484686653
40327462,184,1,courier,0,2,9,0,8,7,6,184__9,2.1972246,64.0,48.0,205.0,21.841552567496162,183.15844743250383,183.15844743250383
40334976,606,98,courier,0,4,11,0,4,4,4,606__11,1.609438,16.0,16.0,206.0,24.233396910285823,181.76660308971418,181.76660308971418
40398179,352,103,courier,0,2,7,0,15,7,5,352__7,2.7725887,225.0,75.0,204.0,27.95238814002757,176.04761185997242,176.04761185997242
40368988,406,16,courier,0,6,14,1,17,8,7,406__14,2.8903718,289.0,119.0,212.0,37.98335207951001,174.01664792049,174.01664792049
40328758,386,126,courier,0,2,10,0,20,8,8,386__10,3.0445225,400.0,160.0,188.0,19.508618280625345,168.49138171937466,168.49138171937466
40368852,406,16,courier,0,6,14,1,7,6,5,406__14,2.0794415,49.0,35.0,195.0,32.98804118218255,162.01195881781746,162.01195881781746
40226091,5,6,courier,0,2,11,0,16,9,6,5__11,2.8332133,256.0,96.0,181.0,21.837165993361282,159.16283400663872,159.16283400663872
40338606,606,98,courier,0,4,11,0,17,10,10,606__11,2.8903718,289.0,170.0,178.0,26.634037119041587,151.36596288095842,151.36596288095842
40313576,276,95,pickup,0,1,12,0,7,7,6,276__12,2.0794415,49.0,42.0,172.0,22.214930092118575,149.78506990788142,149.78506990788142
38959292,25,20,courier,0,6,14,1,9,5,5,25__14,2.3025851,81.0,45.0,209.0,60.424195539612825,148.5758044603872,148.5758044603872
38940047,25,20,courier,0,5,9,1,11,5,5,25__9,2.4849067,121.0,55.0,205.0,60.90276658892273,144.09723341107727,144.09723341107727
40324869,408,1,courier,0,2,7,0,8,5,5,408__7,2.1972246,64.0,40.0,166.0,22.597521260133483,143.40247873986652,143.40247873986652
40284635,383,13,pickup,0,6,12,1,5,5,5,383__12,1.7917595,25.0,25.0,163.0,20.30522166718357,142.69477833281644,142.69477833281644
40369071,406,16,courier,0,6,14,1,4,3,3,406__14,1.609438,16.0,12.0,176.0,33.88540516715673,142.11459483284327,142.11459483284327
40335452,252,1,courier,0,4,7,0,3,2,2,252__7,1.3862944,9.0,6.0,161.0,19.33133189809851,141.6686681019015,141.6686681019015
40356019,406,16,courier,0,5,14,1,9,7,5,406__14,2.3025851,81.0,45.0,175.0,34.574673461341874,140.4253265386581,140.4253265386581
40148502,277,7,courier,0,2,10,0,8,5,5,277__10,2.1972246,64.0,40.0,157.0,16.992690384124863,140.00730961587513,140.00730961587513
38958667,25,20,courier,0,6,13,1,1,1,1,25__13,0.6931472,1.0,1.0,186.0,46.36964897533639,139.6303510246636,139.6303510246636
40369685,406,16,courier,0,6,15,1,25,10,7,406__15,3.2580965,625.0,175.0,173.0,34.51669520282224,138.48330479717777,138.48330479717777
40305954,373,1,pickup,0,1,3,0,5,4,3,373__3,1.7917595,25.0,15.0,183.0,48.85036728919537,134.14963271080464,134.14963271080464
40401839,1,1,courier,0,2,9,0,5,5,5,1__9,1.7917595,25.0,25.0,153.0,19.076641276788774,133.92335872321124,133.92335872321124
40345786,347,1,courier,0,4,17,0,5,5,5,347__17,1.7917595,25.0,25.0,161.0,28.97410720564743,132.02589279435256,132.02589279435256
38940516,25,20,courier,0,5,10,1,4,4,4,25__10,1.609438,16.0,16.0,178.0,46.37205197795363,131.62794802204638,131.62794802204638
40416925,355,98,hall,0,3,11,0,6,6,6,355__11,1.9459101,36.0,36.0,146.0,14.59494826197557,131.40505173802444,131.40505173802444
40254505,94,65,courier,0,4,14,0,3,2,2,94__14,1.3862944,9.0,6.0,159.0,27.64944759885649,131.35055240114352,131.35055240114352
40304722,1,1,courier,0,1,2,0,25,9,5,1__2,3.2580965,625.0,125.0,151.0,20.278096052349163,130.72190394765084,130.72190394765084
40215887,69,53,courier,0,1,9,0,1,1,1,69__9,0.6931472,1.0,1.0,155.0,25.241597888967586,129.7584021110324,129.7584021110324
